Country,Confirmed Cases,Active Cases,New Cases,Critical Cases,New Deaths,Total Deaths,Recovered Cases,Test/ 1M pop,Total Cases/1M pop,Total Deaths/1M Pop,Tests Performed,Continent,iso_alpha
Sri Lanka,663758,309,,,,16512,646937,300528,30755,765,6486117,Asia,LKA
China,223332,4275,187,193,1,5223,213834,111163,155,4,160000000,Asia,CHN
Thailand,4415593,51003,4099,1496,29,29778,4334812,246268,62963,425,17270775,Asia,THA
Myanmar,613222,1602,,,,19434,592186,147715,11130,353,8138688,Asia,MMR
Ecuador,874599,,,759,,35617,,136114,48193,1963,2470170,South America,ECU
Venezuela,523343,1121,,230,,5716,516506,118760,18503,202,3359014,South America,VEN
Madagascar,64314,3551,,6,,1393,59370,15012,2215,48,435827,Africa,MDG
Somalia,26521,11989,,,,1350,13182,23939,1585,81,400466,Africa,SOM
Sao Tome and Principe,5973,3,,,,73,5897,128010,26333,322,29036,Africa,STP
Algeria,265854,80593,,6,,6875,178386,5091,5863,152,230861,Africa,DZA
Cabo Verde,56172,102,,23,,401,55669,706744,99005,707,400982,Africa,CPV
Republic of the Congo,24079,3516,,,,385,20178,60239,4170,67,347815,Africa,COG
Western Sahara,10,0,,,,1,9,,16,2,,Africa,ESH
Cameroon,119780,62,,13,,1927,117791,63035,4310,69,1751774,Africa,CMR
Burundi,41606,,,,,38,,27532,3313,3,345742,Africa,BDI
Mozambique,225577,97,,13,,2201,223279,40212,6855,67,1323179,Africa,MOZ
Mauritania,59025,267,,,,982,57776,168972,12096,201,824558,Africa,MRT
South Sudan,17573,3921,,1,,138,13514,34531,1536,12,395064,Africa,SSD
Indonesia,6052764,2890,174,2771,12,156534,5893340,351904,21697,561,98171807,Asia,IDN
Taiwan,1386640,1212669,66283,,40,1436,172535,721794,58023,60,17249430,Asia,TWN
Kyrgyzstan,200993,1596,,131,,2991,196406,283514,29879,445,1907195,Asia,KGZ
India,43138393,14832,,698,,524459,42599102,602668,30691,373,847092226,Asia,IND
Laos,209744,,16,,,754,,164845,28061,101,1232128,Asia,LAO
Singapore,1269635,79429,,6,,1375,1188831,4021850,213850,232,23877882,Asia,SGP
Brunei,146506,1613,,,,221,144672,1611650,328952,496,717784,Asia,BRN
Vietnam,10708887,1263766,,211,,43075,9402046,866908,108183,435,85814176,Asia,VNM
United Arab Emirates,905151,13910,321,,,2302,888939,15889197,89481,228,160728161,Asia,ARE
Macao,82,0,,,,,82,8070,123,,5375,Asia,MAC
Germany,26085617,1238305,,944,,138712,24708600,1451349,309479,1646,122332384,Europe,DEU
Slovakia,1788490,3303,38,30,1,20081,1765106,1306224,327285,3675,7138024,Europe,SVK
Faroe Islands,34658,,,5,,28,,15808831,704245,569,778000,Europe,FRO
France,29354950,664202,,1173,,147780,28542968,4142002,447855,2255,271490188,Europe,FRA
Sweden,2506607,7216,,7,,18908,2480483,1817702,245315,1850,18573144,Europe,SWE
Slovenia,1022356,7565,,8,,6628,1008163,1279947,491641,3187,2661620,Europe,SVN
Montenegro,236721,640,,6,,2719,233362,3931937,376815,4328,2470106,Europe,MNE
Monaco,12109,69,,4,,57,11983,1382085,304506,1433,54960,Europe,MCO
Russia,18297608,225162,4158,2300,76,378426,17694020,1871931,125281,2591,273400000,Europe,RUS
United Kingdom,22238715,224422,,188,,177977,21836316,7621676,324378,2596,522526476,Europe,GBR
Romania,2906051,,,101,,65652,,1214221,152983,3456,23065296,Europe,ROU
Latvia,827201,2541,345,7,2,5815,818845,3920612,447880,3148,7241076,Europe,LVA
Liechtenstein,17407,41,2,,,84,17282,2665362,454088,2191,102174,Europe,LIE
Italy,17247552,850596,,292,,165952,16231004,3639349,286056,2752,219432092,Europe,ITA
Croatia,1134232,3106,,5,,15966,1115160,1197536,279534,3935,4859097,Europe,HRV
San Marino,16991,196,,4,,115,16680,4468839,498782,3376,152231,Europe,SMR
Poland,6005596,554066,65,981,,116268,5335262,960772,159011,3078,36286936,Europe,POL
Hungary,1914697,37448,,21,,46446,1830803,1185187,199154,4831,11394556,Europe,HUN
Estonia,575046,55897,,4,,2561,516588,2527681,432946,1928,3357306,Europe,EST
Iceland,186969,,,,,153,,5574105,541286,443,1925385,Europe,ISL
Spain,12238073,511851,,339,,105947,11620275,10067267,261559,2264,471036328,Europe,ESP
Belgium,4134293,111738,,105,,31675,3990880,2905303,353822,2711,33947485,Europe,BEL
Serbia,2015086,6941,,10,,16065,1992080,1112740,232392,1853,9648645,Europe,SRB
Moldova,517753,2108,,49,,11503,504142,800813,128913,2864,3216305,Europe,MDA
Austria,4235183,43273,1753,52,252,18599,4173311,20478570,465240,2043,186421071,Europe,AUT
Finland,1081225,,,21,,4406,,1956710,194572,793,10873312,Europe,FIN
Vatican City,29,0,,,,,29,,36025,,,Europe,VAT
Portugal,4066674,,,61,,22583,,4168978,401025,2227,42276350,Europe,PRT
Ireland,1551835,20667,,25,,7244,1523924,2415823,307799,1437,12179888,Europe,IRL
Bosnia and Herzegovina,377709,,,,,15783,,546302,116491,4868,1771319,Europe,BIH
Malta,94113,2155,67,4,1,718,91240,4315272,212081,1618,1914941,Europe,MLT
Netherlands,8075194,39591,,36,,22306,8013297,1226725,469316,1296,21107399,Europe,NLD
Czechia,3918127,1607,62,6,,40266,3876254,5152098,364599,3747,55366573,Europe,CZE
Norway,1431291,,,20,,3094,,2000036,260182,562,11002430,Europe,NOR
Albania,275864,242,,2,,3497,272125,634737,96057,1218,1822887,Europe,ALB
Denmark,2979238,7052,,11,,6312,2965874,21846234,510963,1083,127377418,Europe,DNK
Belarus,982867,,,,,6978,,1399961,104079,739,13220483,Europe,BLR
Greece,3419998,48936,,156,,29690,3341372,7926073,331166,2875,81853729,Europe,GRC
Bulgaria,1163413,83681,,43,,37093,1042639,1454716,169843,5415,9964693,Europe,BGR
North Macedonia,311199,541,,,,9297,301361,979268,149384,4463,2040024,Europe,MKD
Channel Islands,75767,612,,,,176,74979,7082693,428345,995,1252808,Europe,CYM
Switzerland,3642604,49052,,71,,13934,3579618,2392535,415165,1588,20991820,Europe,CHE
Lithuania,1061549,17139,14,11,,9134,1035276,3760286,400469,3446,9967630,Europe,LTU
Isle of Man,28416,1517,,,,105,26794,1755371,330876,1223,150753,Europe,IMN
Palestine,582246,127,,17,,5355,576764,578150,1006,3078533,109346,Middle East,PSE
Jordan,1694216,1227,,124,,14048,1678941,1603836,1352,16670254,163000,Middle East,JOR
Lebanon,1098503,2404,,186,,10417,1085682,708580,1539,4795578,162312,Middle East,LBN
Kuwait,632781,531,,4,,2555,629695,1845038,582,8098920,144156,Middle East,KWT
Honduras,424771,281474,,105,,10896,132401,134277,41638,1068,1369816,North America,HND
Saint Barthélemy,4611,,,,,6,,7916851,464163,604,78646,North America,BLM
Cuba,1104979,333,,23,,8529,1096117,1142012,97668,754,12920253,North America,CUB
Aruba,36316,295,,,,213,35808,1652899,337447,1979,177885,North America,ABW
Mexico,5752441,377404,,4798,,324617,5050420,120909,43750,2469,15897804,North America,MEX
Saint Lucia,24957,829,,1,,370,23758,773622,134751,1998,143281,North America,LCA
Saint Vincent and the Grenadines,6848,101,,,,106,6641,890730,61360,950,99409,North America,VCT
Guadeloupe,140130,137026,,19,,854,2250,2343615,350104,2134,938039,North America,GLP
Dominica,13116,588,,,,63,12465,2720808,181353,871,196777,North America,DMA
Papua New Guinea,44394,17,,7,,651,43726,26888,4791,70,249149,Oceania,PNG
New Caledonia,61514,582,,9,,312,60620,340469,211628,1073,98964,Oceania,NCL
French Polynesia,72858,,,7,,649,,,256571,2285,,Oceania,PYF
French Guiana,82313,70662,,1,,397,11254,2030173,262759,1267,635980,South America,GUF
Brazil,30791220,293521,,8318,,665680,29832019,296074,142945,3090,63776166,South America,BRA
Argentina,9135308,110533,,300,,128776,8895999,776821,198692,2801,35716069,South America,ARG
Guyana,64276,589,,,,1231,62456,781329,80982,1551,620143,South America,GUY
Colombia,6099111,28733,,342,,139833,5930545,670320,117506,2694,34792844,South America,COL
Nigeria,255937,2798,,11,,3143,249996,23878,1186,15,5152011,Africa,NGA
Tanzania,35354,,,7,,840,,,562,13,,Africa,TZA
Eritrea,9754,11,,,,103,9640,6511,2680,28,23693,Africa,ERI
Tunisia,1041789,,,29,,28628,,382299,86444,2375,4607327,Africa,TUN
Angola,99194,145,,,,1900,97149,43108,2851,55,1499795,Africa,AGO
Mauritius,37955,670,,,,996,36289,281150,29751,781,358675,Africa,MUS
Guinea-Bissau,8246,46,,6,,171,8029,67037,4011,83,137803,Africa,GNB
Kenya,324242,315,,,,5651,318276,65163,5790,101,3649319,Africa,KEN
Eswatini,72150,447,,11,,1404,70299,866148,60999,1187,1024478,Africa,SWZ
Equatorial Guinea,15910,23,,5,,183,15704,215432,10679,123,320949,Africa,GNQ
Botswana,306614,303,,1,,2692,303619,830329,125606,1103,2026898,Africa,BWA
Democratic Republic of the Congo,87633,35365,,,,1338,50930,8942,925,14,846704,Africa,COD
Togo,37046,26,,,,273,36747,85390,4286,32,738130,Africa,TGO
Niger,9031,93,,1,,310,8628,9844,349,12,254538,Africa,NER
Georgia,1655221,1117,,,,16811,1637293,4256901,416435,4229,16920079,Asia,GEO
Uzbekistan,238940,142,11,23,,1637,237161,40075,6949,48,1377915,Asia,UZB
Nepal,979068,141,,,,11952,966975,188736,32501,397,5685502,Asia,NPL
Afghanistan,179716,9277,,1124,,7698,162741,23619,4429,190,958454,Asia,AFG
Kazakhstan,1305697,151,6,24,,13661,1291885,602869,68005,712,11575012,Asia,KAZ
